Year-Month,Ore Prod (tons),Concrete Prod (ton),Con Value * 1000
2017-01,370142,13338,677973
2017-02,331192,11415,563372
2017-03,362532,13152,722886
2017-04,261478,9425,458581
2017-05,269342,10437,558438
2017-06,265771,11325,572409
2017-07,260416,10646,587144
2017-08,293471,9390,509513
2017-09,258175,10956,656014
2017-10,314721,11401,630353
2017-11,337121,12130,662184
2017-12,343286,14185,791844
,,,
2018-01,339829,15080,768973
2018-02,343587,12377,684118
2018-03,386671,14513,863190
2018-04,287182,12160,711094
2018-05,350336,18795,1036544
2018-06,343053,13186,712040
2018-07,335748,12407,724901
2018-08,315751,12501,692703
2018-09,325720,13007,1060437
2018-10,354196,13596,833781
2018-11,351091,12019,768526
2018-12,359112,10858,620611
,,,
2019-01,353372,12222,700603
2019-02,353208,11454,738627
2019-03,405976,13231,795379
2019-04,343009,10264,726188
2019-05,356032,9779,650350
2019-06,348844,9795,659056
2019-07,346485,10506,735813
2019-08,338306,11192,731184
2019-09,354981,12816,883824
2019-10,335427,10584,695368
2019-11,309836,9526,571959
2019-12,346816,11247,723097
,,,
2020-01,335051,11893,779138
2020-02,317984,10034,676714
2020-03,219647,7056,605841
2020-04,101186,1432,196068
2020-05,230073,6844,587448
2020-06,252526,8101,573468
2020-07,266307,8967,707632
2020-08,265043,9966,764060
2020-09,233799,8798,646023
2020-10,297345,9885,698586
2020-11,294119,10749,785860
2020-12,337930,10684,862765
,,,
2021-01,327425,11614,922667
2021-02,314685,10620,954018
2021-03,457412,11060,971543
2021-04,325962,8568,809168
2021-05,329239,11325,975434
2021-06,296534,10356,965787
2021-07,337478,8578,747309
2021-08,346306,10033,761374
2021-09,281578,8620,757363
2021-10,320927,10558,919865
2021-11,301303,9906,961636
2021-12,288499,9588,962798
,,,
2022-01,291269,9825,1116283
2022-02,269877,8516,980117
2022-03,180660,8548,993978
2022-04,224001,8206,851084
2022-05,124548,7534,8896300
2022-06,273529,9616,961233
2022-07,281953,9337,816945
2022-08,272538,8615,777936
2022-09,266958,10219,881905
2022-10,258205,9661,894008
2022-11,267515,9498,905347
2022-12,303246,9966,1002357
,,,
2023-01,353472,9402,939495
2023-02,311493,8562,912198
2023-03,388879,12126,1330054
2023-04,294046,9187,912575
2023-05,311608,9375,971060
2023-06,321950,9283,940279
2023-07,343325,10172,1069922
2023-08,305296,10245,1027523
2023-09,280684,10237,1066538
2023-10,279463,9215,949444
2023-11,309109,8993,971912
2023-12,337846,11331,1235108
,,,
2024-01,334171,12622,1339091
2024-02,293761,11021,1166231
2024-03,370997,13550,1491796
2024-04,322649,10294,1204970
2024-05,330356,10595,1275807
2024-06,263253,8663,992813
2024-07,"258,946","8,717","928,791"
2024-08,"287,415","8,879","959,453"
2024-09,275446,8544,940536
2024-10,296306,8036,894340
2024-11,269998,8393,921361
2024-12,279611,8000,850208
