YEAR-MONTH,Export In Crores,Import In Crores
2017-01,44.65,51.65
2017-02,37.54,55.56
2017-03,59.94,40.68
2017-04,51.46,74.06
2017-05,45.13,75.64
2017-06,37.12,45.05
2017-07,58.32,91.84
2017-08,45.69,77.31
2017-09,38.57,80.59
2017-10,49.82,68.99
2017-11,48.75,92.57
2017-12,34.37,65.26
2018-01,68.07,88.79
2018-02,47.05,67.22
2018-03,64.16,77.5
2018-04,47.67,76.33
2018-05,99.65,71.38
2018-06,46.5,80.56
2018-07,94.99,46.57
2018-08,56.16,94.31
2018-09,97.24,96.3
2018-10,69.28,125.78
2018-11,38.73,122.44
2018-12,128.94,137.45
2019-01,23.7,106.5
2019-02,78.54,73.41
2019-03,88.17,120.88
2019-04,69.17,88.72
2019-05,36.48,124.16
2019-06,73.22,83.14
2019-07,75.53,75.34
2019-08,58.91,74.37
2019-09,60.73,80.21
2019-10,77.56,66.31
2019-11,88.77,112.48
2019-12,57.38,87.47
2020-01,91.19,96.96
2020-02,86.89,49.65
2020-03,41.84,36.16
2020-04,31.43,58.29
2020-05,42.64,93.17
2020-06,108.37,93.81
2020-07,50.77,57.05
2020-08,34.86,77.81
2020-09,116.09,91.5
2020-10,48.57,90.45
2020-11,59.98,105.05
2020-12,73.27,125.83
2021-01,61.18,110.41
2021-02,89.64,93
2021-03,64.12,91.96
2021-04,101.69,103.57
2021-05,63.21,123.08
2021-06,83.04,158.32
2021-07,97.59,127.39
2021-08,74.84,96.43
2021-09,50.09,178.06
2021-10,39.26,154.38
2021-11,167.73,109.54
2021-12,75.46,104.06
2022-01,53.65,130.27
2022-02,105.77,211.06
2022-03,112.64,176.3
2022-04,58.96,149.32
2022-05,99.96,170.93
2022-06,82.41,138.16
2022-07,110.82,200.42
2022-08,116.62,230.45
2022-09,151.09,167.54
2022-10,120.41,172.25
2022-11,115.22,190.01
2022-12,124.95,147.23
2023-01,149.06,187.52
2023-02,162.35,182.86
2023-03,160.77,130.09
2023-04,81.13,111.51
2023-05,149.75,232.78
2023-06,107.73,290.45
2023-07,176.06,242.47
2023-08,184.68,225.95
2023-09,164.46,183.96
2023-10,175.65,193.26
2023-11,138.66,155.65
2023-12,174.89,164.38
2024-01,132.98,131.95
2024-02,195.35,112.69
2024-03,188.13,248.69
2024-04,214.02,189.78
2024-05,206.23,154.76
2024-06,133.87,173.59
2024-07,120.32,174.95
2024-08,307.17,124.63
2024-09,316.85,194.55
2024-10,353.24,176.29
2024-11,295.86,111.1
2024-12,268.06,183.52
2025-01,422.61,116.13
2025-02,322.59,194.87
2025-03,356.79,165.11
2025-04,578.51,206.44
2025-05,444.37,327.57
2025-06,373.19,213.7
2025-07,465.79,251.44
2025-08,585.33,245.6
2025-09,472.48,265.09
2025-10,450.72,339.17
2025-11,NA,NA
2025-12,NA,NA
